Month,Month Label,Economy,Economy Label,Index (Average M2 2023 = 100),Index (Average M2 2023 = 100) Footnote,Index (Average M2 2023 = 100) Missing value,"Growth rate, year-on-year","Growth rate, year-on-year Footnote","Growth rate, year-on-year Missing value",Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2006M02,"Feb. 2006",012,"Algeria",59.70207,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",016,"American Samoa",31.7279,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",024,"Angola",61.5449,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",660,"Anguilla",7.73145,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",028,"Antigua and Barbuda",22.93111,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",032,"Argentina",116.63993,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",533,"Aruba",27.60083,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",036,"Australia",139.19453,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",044,"Bahamas",58.07361,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",048,"Bahrain",33.71585,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",050,"Bangladesh",41.28467,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",052,"Barbados",36.60703,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",056,"Belgium",420.27499,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",084,"Belize",14.72717,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",204,"Benin",49.62155,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",060,"Bermuda",7.79287,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",535,"Bonaire, Sint Eustatius and Saba",,,"Not applicable",,,"Not applicable",,,"Not applicable"
2006M02,"Feb. 2006",076,"Brazil",165.34077,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",092,"British Virgin Islands",13.29954,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",096,"Brunei Darussalam",21.19292,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",100,"Bulgaria",38.22704,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",132,"Cabo Verde",15.79113,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",116,"Cambodia",17.09131,,,,,"No value reported or collected",,,"No value reported or collected"
2006M02,"Feb. 2006",120,"Cameroon",68.06215,,,,,"No value reported or collected",,,"No value reported or collected"
