timestamp,device_id,location,temperature,humidity,vibration_level,inventory_status,stock_quantity,order_id,order_placed_date,expected_delivery_date,actual_delivery_date,supplier_id,supplier_rating,logistics_partner,shipment_status,social_media_feed,news_alert,weather_condition,system_log_message,manual_risk_label
2024-03-27 11:21:41,sensor_2,Hub_C,27.48,48.62,1.98,in-stock,188,ORD5506,2024-03-19 11:21:41,2024-03-29 11:21:41,2024-03-29 11:21:41,SUP_117,2.78,DHL,delivered,Supply chain normal,Stable market,sunny,System normal,0
2025-02-27 14:22:08,sensor_6,Hub_C,24.53,40.71,0.61,in-stock,359,ORD7912,2025-02-22 14:22:08,2025-02-28 14:22:08,2025-03-02 14:22:08,SUP_111,1.08,FedEx,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2025-01-27 12:30:19,sensor_39,Warehouse_A,22.1,44.75,0.3,in-stock,459,ORD4257,2025-01-12 12:30:19,2025-02-01 12:30:19,2025-01-29 12:30:19,SUP_153,1.03,FedEx,delayed,Supply chain normal,Stable market,sunny,System normal,0
2025-04-02 16:42:30,sensor_18,Warehouse_A,25.11,45.72,0.77,in-stock,475,ORD3615,2025-03-22 16:42:30,2025-04-05 16:42:30,2025-04-22 16:42:30,SUP_135,1.93,FedEx,in-transit,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-09-18 10:34:37,sensor_7,Warehouse_A,26.11,42.32,0.72,in-stock,243,ORD7224,2024-09-12 10:34:37,2024-09-21 10:34:37,2024-09-20 10:34:37,SUP_144,1.19,UPS,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-12-22 20:18:01,sensor_35,Warehouse_A,19.25,53.76,0.1,in-stock,387,ORD7201,2024-12-16 20:18:01,2024-12-27 20:18:01,2025-01-06 20:18:01,SUP_137,3.25,UPS,delivered,Supply chain normal,Stable market,sunny,System normal,0
2024-05-29 08:31:08,sensor_46,Warehouse_A,24.3,49.67,0.39,in-stock,91,ORD1750,2024-05-14 08:31:08,2024-05-31 08:31:08,2024-05-30 08:31:08,SUP_198,1.49,UPS,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-06-29 19:32:11,sensor_7,Port_B,22.33,49.94,3.6,in-stock,419,ORD5554,2024-06-17 19:32:11,2024-07-02 19:32:11,2024-06-29 19:32:11,SUP_120,4.02,UPS,delayed,Supply chain normal,Stable market,sunny,System normal,0
2024-06-11 17:29:38,sensor_43,Port_B,18.11,46.47,1.26,in-stock,476,ORD2169,2024-05-28 17:29:38,2024-06-13 17:29:38,2024-07-01 17:29:38,SUP_168,4.1,FedEx,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-12-25 01:09:17,sensor_25,Port_B,28.69,51.71,0.14,in-stock,214,ORD4598,2024-12-10 01:09:17,2024-12-28 01:09:17,2024-12-27 01:09:17,SUP_198,4.84,DHL,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2024-01-25 22:23:30,sensor_21,Port_B,27.37,56.59,1.16,in-stock,279,ORD5386,2024-01-19 22:23:30,2024-01-27 22:23:30,2024-01-26 22:23:30,SUP_172,2.12,UPS,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2025-01-22 18:20:42,sensor_26,Hub_C,19.35,51.34,2.43,in-stock,64,ORD8517,2025-01-15 18:20:42,2025-01-25 18:20:42,2025-01-22 18:20:42,SUP_117,2.69,FedEx,delivered,Supply chain normal,Stable market,sunny,System normal,0
2025-03-12 00:39:37,sensor_35,Port_B,17.18,42.04,0.02,in-stock,498,ORD8019,2025-02-26 00:39:37,2025-03-16 00:39:37,2025-03-15 00:39:37,SUP_146,3.92,FedEx,in-transit,Supply chain normal,Stable market,sunny,System normal,0
2025-01-30 18:15:30,sensor_32,Warehouse_A,20.8,46.91,2.98,in-stock,327,ORD1771,2025-01-24 18:15:30,2025-02-01 18:15:30,2025-01-31 18:15:30,SUP_180,1.38,FedEx,delivered,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-11-23 21:37:55,sensor_39,Warehouse_A,32.34,38.76,1.64,in-stock,171,ORD7304,2024-11-12 21:37:55,2024-11-28 21:37:55,2024-11-25 21:37:55,SUP_159,4.55,UPS,delivered,Supply chain normal,Stable market,sunny,System normal,0
2024-01-09 22:01:18,sensor_44,Hub_C,19.81,49.24,1.87,in-stock,256,ORD2876,2023-12-25 22:01:18,2024-01-14 22:01:18,2024-01-12 22:01:18,SUP_196,1.94,UPS,delivered,Supply chain normal,Stable market,sunny,System normal,0
2024-09-21 05:19:49,sensor_8,Port_B,21.93,53.33,0.87,in-stock,178,ORD8123,2024-09-14 05:19:49,2024-09-25 05:19:49,2024-09-21 05:19:49,SUP_100,3.55,UPS,delivered,Supply chain normal,Stable market,sunny,System normal,0
2024-05-18 18:18:44,sensor_33,Warehouse_A,25.46,30.12,3.57,in-stock,406,ORD5889,2024-05-03 18:18:44,2024-05-23 18:18:44,2024-05-20 18:18:44,SUP_177,3.16,FedEx,in-transit,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
2024-10-17 10:15:33,sensor_49,Warehouse_A,33.11,58.24,3.19,in-stock,169,ORD9837,2024-10-04 10:15:33,2024-10-18 10:15:33,2024-10-22 10:15:33,SUP_176,3.53,UPS,delayed,Possible delay reported,Minor strikes reported,rainy,Warning threshold exceeded,1
