shipment_id,type,date,product_category,origin,O_Country,destination,D_Country,value,freight_cost,customs_clearance_time_days,delivery_status
PHR-0001,Air Freight,2025-01-03,mRNA-COVID,JFK Airport,USA,Heathrow Airport,UK,1950000,52000,1.2,On-Time
PHR-0002,Air Freight,2025-01-04,VACC-STANDARD,Frankfurt Airport,Germany,Mumbai Airport,India,420000,18000,2.8,Delayed
PHR-0003,Air Freight,2025-01-05,BIO-SPECIALTY,Pudong Airport,China,O'Hare Airport,USA,980000,24000,3.1,On-Time
PHR-0004,Sea Freight,2025-01-06,VACC-STANDARD,Port of Rotterdam,Netherlands,Port of Singapore,Singapore,380000,62000,4.5,Delayed
PHR-0005,Air Freight,2025-01-07,VACC-STANDARD,Zurich Airport,Switzerland,Heathrow Airport,UK,260000,12000,1.3,On-Time
PHR-0006,Air Freight,2025-01-08,BIO-SPECIALTY,Basel EuroAirport,Switzerland,Changi Airport,Singapore,1250000,28000,2.4,Delayed
PHR-0007,Sea Freight,2025-01-09,VACC-STANDARD,Port of Antwerp,Belgium,Port of New York and New Jersey,USA,340000,71000,3.9,On-Time
PHR-0008,Air Freight,2025-01-10,mRNA-COVID,Heathrow Airport,UK,Charles de Gaulle Airport,France,1800000,41000,1.1,On-Time
PHR-0009,Air Freight,2025-01-11,VACC-STANDARD,Narita Airport,Japan,Sydney Airport,Australia,310000,16000,2.0,On-Time
PHR-0010,Sea Freight,2025-01-12,VACC-STANDARD,Port of Los Angeles,USA,Port of Yokohama,Japan,290000,68000,5.2,Delayed
PHR-0011,Air Freight,2025-01-13,BIO-SPECIALTY,O'Hare Airport,USA,Mexico City Airport,Mexico,820000,22000,2.7,On-Time
PHR-0012,Air Freight,2025-01-14,VACC-STANDARD,Mumbai Airport,India,King Khalid Airport,Saudi Arabia,240000,14000,2.2,Delayed
PHR-0013,Sea Freight,2025-01-15,VACC-STANDARD,Port of Singapore,Singapore,Port of Melbourne,Australia,265000,59000,4.3,On-Time
PHR-0014,Air Freight,2025-01-16,mRNA-COVID,Changi Airport,Singapore,Incheon Airport,South Korea,1750000,43000,1.7,On-Time
PHR-0015,Air Freight,2025-01-17,VACC-STANDARD,Heathrow Airport,UK,JFK Airport,USA,355000,17000,1.6,Delayed
PHR-0016,Sea Freight,2025-01-18,VACC-STANDARD,Port of Hamburg,Germany,Port of Durban,South Africa,210000,64000,6.1,Delayed
PHR-0017,Air Freight,2025-01-19,BIO-SPECIALTY,Charles de Gaulle Airport,France,Frankfurt Airport,Germany,910000,21000,1.4,On-Time
