date,region,carrier,shipments_processed,delay_hours_avg,fuel_price_usd_per_barrel,warehouse_utilization_percent,damage_claims_count
2024-06-01,North America,FastShip,1500,2.5,78.2,85,5
2024-06-01,Europe,GlobalConnect,1200,1.8,79.5,75,2
2024-06-01,Asia-Pacific,OceanExpress,2100,4.1,81.1,92,12
2024-06-01,North America,ReliableLogistics,900,1.2,78.2,60,1
2024-06-02,North America,FastShip,1450,2.8,78.5,86,6
2024-06-02,Europe,GlobalConnect,1250,1.5,79.8,74,3
2024-06-02,Asia-Pacific,OceanExpress,2200,4.5,81.4,93,15
2024-06-02,North America,ReliableLogistics,920,1.1,78.5,61,0
2024-06-03,North America,FastShip,1550,2.3,78.8,84,4
2024-06-03,Europe,GlobalConnect,1180,1.9,80.1,76,2
2024-06-03,Asia-Pacific,OceanExpress,2050,4.0,81.7,91,11
2024-06-03,North America,ReliableLogistics,880,1.3,78.8,59,2
2024-06-04,North America,FastShip,1600,2.1,79.0,83,3
2024-06-04,Europe,GlobalConnect,1300,1.7,80.3,73,1
2024-06-04,Asia-Pacific,OceanExpress,2300,4.8,82.0,94,18
2024-06-04,North America,ReliableLogistics,950,1.0,79.0,62,0
2024-06-05,North America,FastShip,1400,3.0,79.3,87,7
2024-06-05,Europe,GlobalConnect,1150,2.0,80.6,77,4
2024-06-05,Asia-Pacific,OceanExpress,2000,3.8,82.3,90,10
2024-06-05,North America,ReliableLogistics,850,1.4,79.3,58,3
2024-06-06,North America,FastShip,1520,2.7,79.6,85,5
2024-06-06,Europe,GlobalConnect,1220,1.6,80.9,75,2
2024-06-06,Asia-Pacific,OceanExpress,2150,4.3,82.6,92,14
2024-06-06,North America,ReliableLogistics,910,1.2,79.6,60,1
2024-06-07,North America,FastShip,1480,2.9,79.9,86,6
2024-06-07,Europe,GlobalConnect,1280,1.4,81.2,74,3
2024-06-07,Asia-Pacific,OceanExpress,2250,4.6,82.9,93,16
2024-06-07,North America,ReliableLogistics,930,1.0,79.9,61,0
2024-06-08,North America,FastShip,1580,2.2,80.1,84,4
2024-06-08,Europe,GlobalConnect,1190,1.8,81.5,76,2
2024-06-08,Asia-Pacific,OceanExpress,2080,4.2,83.2,91,13
2024-06-08,North America,ReliableLogistics,890,1.3,80.1,59,2
2024-06-09,North America,FastShip,1620,2.0,80.4,83,3
2024-06-09,Europe,GlobalConnect,1320,1.6,81.8,73,1
2024-06-09,Asia-Pacific,OceanExpress,2350,4.9,83.5,94,19
2024-06-09,North America,ReliableLogistics,960,0.9,80.4,62,0
2024-06-10,North America,FastShip,1420,3.1,80.7,87,7
2024-06-10,Europe,GlobalConnect,1170,2.1,82.1,77,4
2024-06-10,Asia-Pacific,OceanExpress,2020,3.9,83.8,90,11
2024-06-10,North America,ReliableLogistics,870,1.5,80.7,58,3
2024-06-11,North America,FastShip,1540,2.6,81.0,85,5
2024-06-11,Europe,GlobalConnect,1240,1.5,82.4,75,2
2024-06-11,Asia-Pacific,OceanExpress,2180,4.4,84.1,92,15
2024-06-11,North America,ReliableLogistics,920,1.1,81.0,60,1
2024-06-12,North America,FastShip,1490,2.9,81.3,86,6
2024-06-12,Europe,GlobalConnect,1290,1.4,82.7,74,3
2024-06-12,Asia-Pacific,OceanExpress,2280,4.7,84.4,93,17
2024-06-12,North America,ReliableLogistics,940,1.0,81.3,61,0
2024-06-13,North America,FastShip,1590,2.2,81.6,84,4
2024-06-13,Europe,GlobalConnect,1200,1.7,83.0,76,2
2024-06-13,Asia-Pacific,OceanExpress,2100,4.1,84.7,91,12
2024-06-13,North America,ReliableLogistics,900,1.3,81.6,59,2
2024-06-14,North America,FastShip,1610,2.0,81.9,83,3
2024-06-14,Europe,GlobalConnect,1330,1.6,83.3,73,1
2024-06-14,Asia-Pacific,OceanExpress,2370,5.0,85.0,94,20
2024-06-14,North America,ReliableLogistics,970,0.9,81.9,62,0
2024-06-15,North America,FastShip,1430,3.1,82.2,87,7
2024-06-15,Europe,GlobalConnect,1180,2.1,83.6,77,4
2024-06-15,Asia-Pacific,OceanExpress,2040,3.9,85.3,90,11
2024-06-15,North America,ReliableLogistics,880,1.5,82.2,58,3
2024-06-16,North America,FastShip,1530,2.6,82.5,85,5
2024-06-16,Europe,GlobalConnect,1230,1.5,83.9,75,2
