shipment_id,type,date,product_category,origin,O_Country,destination,D_Country,value,freight_cost,customs_clearance_time_days,delivery_status
SHP-2024-0001,Export,2024-01-02,Electronics,Mumbai, India,New York, USA,85000,4250,2.1,On-Time
SHP-2024-0002,Import,2024-01-03,Textiles,Shanghai, China,Mumbai, India,120000,6000,3.5,On-Time
SHP-2024-0003,Export,2024-01-04,Consumer Goods,Mumbai, India,London, UK,45000,2250,1.8,On-Time
SHP-2024-0004,Import,2024-01-05,Industrial Equipment,Hamburg, Germany,Mumbai, India,250000,12500,4.2,Delayed
SHP-2024-0005,Export,2024-01-06,Electronics,Mumbai, India,Tokyo, Japan,95000,4750,2.5,On-Time
SHP-2024-0006,Import,2024-01-07,Consumer Goods,Ho Chi Minh City, Vietnam,Mumbai, India,60000,3000,2.0,On-Time
SHP-2024-0007,Export,2024-01-08,Textiles,Mumbai, India,Dubai, UAE,75000,3750,1.5,On-Time
SHP-2024-0008,Import,2024-01-09,Electronics,Seoul, South Korea,Mumbai, India,180000,9000,3.8,On-Time
SHP-2024-0009,Export,2024-01-10,Industrial Equipment,Mumbai, India,Singapore,65000,3250,2.2,On-Time
SHP-2024-0010,Import,2024-01-11,Textiles,Dhaka, Bangladesh,Mumbai, India,90000,4500,2.7,On-Time
SHP-2024-0011,Export,2024-01-12,Consumer Goods,Mumbai, India,Sydney, Australia,55000,2750,3.1,Delayed
SHP-2024-0012,Import,2024-01-13,Electronics,Taipei, Taiwan,Mumbai, India,210000,10500,4.0,On-Time
SHP-2024-0013,Export,2024-01-14,Industrial Equipment,Mumbai, India,Rotterdam, Netherlands,130000,6500,3.3,On-Time
SHP-2024-0014,Import,2024-01-15,Consumer Goods,Bangkok, Thailand,Mumbai, India,70000,3500,2.4,On-Time
SHP-2024-0015,Export,2024-01-16,Textiles,Mumbai, India,New York, USA,110000,5500,2.9,On-Time
SHP-2024-0016,Import,2024-01-17,Industrial Equipment,Genoa, Italy,Mumbai, India,190000,9500,4.5,On-Time
SHP-2024-0017,Export,2024-01-18,Electronics,Mumbai, India,Los Angeles, USA,150000,7500,3.0,On-Time
SHP-2024-0018,Import,2024-01-19,Textiles,Istanbul, Turkey,Mumbai, India,80000,4000,3.2,Delayed
SHP-2024-0019,Export,2024-01-20,Consumer Goods,Mumbai, India,Jeddah, Saudi Arabia,35000,1750,1.9,On-Time
SHP-2024-0020,Import,2024-01-21,Electronics,San Francisco, USA,Mumbai, India,220000,11000,4.1,On-Time
SHP-2024-0021,Export,2024-01-22,Industrial Equipment,Mumbai, India,Durban, South Africa,95000,4750,3.6,On-Time
SHP-2024-0022,Import,2024-01-23,Consumer Goods,Jakarta, Indonesia,Mumbai, India,48000,2400,2.6,On-Time
SHP-2024-0023,Export,2024-01-24,Textiles,Mumbai, India,Lagos, Nigeria,65000,3250,3.4,On-Time
SHP-2024-0024,Import,2024-01-25,Industrial Equipment,Yokohama, Japan,Mumbai, India,300000,15000,4.8,Delayed
SHP-2024-0025,Export,2024-01-26,Electronics,Mumbai, India,Mexico City, Mexico,120000,6000,3.9,On-Time
SHP-2024-0026,Import,2024-01-27,Consumer Goods,Manila, Philippines,Mumbai, India,40000,2000,2.8,On-Time
SHP-2024-0027,Export,2024-01-28,Textiles,Mumbai, India,Cairo, Egypt,50000,2500,2.3,On-Time
SHP-2024-0028,Import,2024-01-29,Electronics,Helsinki, Finland,Mumbai, India,160000,8000,3.7,On-Time
SHP-2024-0029,Export,2024-01-30,Consumer Goods,Mumbai, India,Rio de Janeiro, Brazil,70000,3500,4.3,On-Time
SHP-2024-0030,Import,2024-01-31,Industrial Equipment,Busan, South Korea,Mumbai, India,280000,14000,4.6,On-Time
SHP-2024-0031,Export,2024-02-01,Electronics,Mumbai, India,New York, USA,88000,4400,2.2,On-Time
